tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
264,20.05,20.03,20.05,20.07,20.03,20.05,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
265,20.1,20.07,20.1,20.13,20.03,20.1,20.07,0.0,0.0,0.0
